사업자등록번호,기업명,대표자명,code,분류명,c_index,c_name
1010117247,세프디자인,진범두,33,기타 제품 제조업,32,단순 제조업
1010117344,썬텔,신학순,47,소매업; 자동차 제외,45,도소매업
1010134270,한국과학,김홍석,46,도매 및 상품 중개업,45,도소매업
1010142386,곰두리여행,박윤구,90,"창작, 예술 및 여가관련 서비스업",90,관광산업
1010152171,하나로인테리어,이정환,42,전문직별 공사업,41,건설업
1010156333,나이트호프,유성철,56,음식점 및 주점업,56,음식점
1010157384,아람정보통신,정지영,46,도매 및 상품 중개업,45,도소매업
1010157569,윤석조,윤석조,68,부동산업,68,부동산업
1010165297,드림오피스,박영미,46,도매 및 상품 중개업,45,도소매업
1010165716,낙지랑,최정미,56,음식점 및 주점업,56,음식점
1010166700,즐거운포차,장순옥,56,음식점 및 주점업,56,음식점
1010168732,종로컴퓨터,김병수,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",26,기기류 제조업
1010169707,일일구컴퓨터,이규경,95,개인 및 소비용품 수리업,95,AS
1010171275,법무사김기동사무소,김기동,71,전문 서비스업,70,전문과학기술업
1010178695,모비티,서현철,46,도매 및 상품 중개업,45,도소매업
1010180866,광개토대왕스튜디오,이주병,73,"기타 전문, 과학 및 기술 서비스업",70,전문과학기술업
1010181318,한아름기업경영시스템,전성식,58,출판업,58,정보통신업
1010191924,매일통신,유관옥,47,소매업; 자동차 제외,45,도소매업
1010201835,파마트엘지약국,최정숙,47,소매업; 자동차 제외,45,도소매업
1010209725,정인인터내셔널,신병삼,47,소매업; 자동차 제외,45,도소매업
1010222602,서울조경,윤정용,41,종합 건설업,41,건설업
1010228358,케이테크전해,김은상외  1명,46,도매 및 상품 중개업,45,도소매업
1010266046,여우천사,김진옥,33,기타 제품 제조업,32,단순 제조업
1010269214,에스지디자인,배호태,33,기타 제품 제조업,32,단순 제조업
1010281130,다나건축사사무소,오형근,72,"건축 기술, 엔지니어링 및 기타 과학기술 서비스업",70,전문과학기술업
1010291472,글로벌에이스,김선남,63,정보서비스업,58,정보통신업
1010295105,마로니에기획,임채용,46,도매 및 상품 중개업,45,도소매업
1010299794,마하넷,이계복,58,출판업,58,정보통신업
