index,사업자등록번호,기업명,대표자명,c_index,c_name
21872,2150541118,우현시스템,최창섭,26,기기류 제조업
21191,2128191234,(주)닥터서플라이,안승규,26,기기류 제조업
27915,3178107948,(주)테크노시스,황운현,26,기기류 제조업
32223,4338600709,(주)앱인,김성현,26,기기류 제조업
21184,2128186236,(주)라츠알엔피,강동걸,26,기기류 제조업
9708,1148604973,(주)디아이티,권문찬,26,기기류 제조업
21176,2128174249,(주)양헌기공,한완수,26,기기류 제조업
32231,4368800338,(주)태원테크,박기권,26,기기류 제조업
11199,1210471173,베스트정보,김정남,26,기기류 제조업
29090,3628800075,(주)케어메디,신운섭,26,기기류 제조업
29092,3628801017,(주)지어스,백슝정,26,기기류 제조업
26106,3058137207,(주)넷비젼텔레콤,전병천,26,기기류 제조업
21172,2128170277,썬덴코리아(주),권상오,26,기기류 제조업
32277,4468100087,(주)넷마벨스,김창규,26,기기류 제조업
26115,3058152625,(주)영인,신준용,26,기기류 제조업
27903,3178100853,(주)형음,정덕현,26,기기류 제조업
21157,2128148945,위컴유비스(주),박현우,26,기기류 제조업
9715,1148614637,(주)파라오텔레콤,박화영,26,기기류 제조업
15992,1380531007,오티엔텍,송제표,26,기기류 제조업
14726,1330585357,텔레토피아,배금섭,26,기기류 제조업
15993,1380535245,비젼웨어텍,김광득,26,기기류 제조업
32339,4598800291,(주)센시,서인식,26,기기류 제조업
14235,1313372596,우리정밀,장미애,26,기기류 제조업
32269,4458700204,알에프앤텍(주),권덕식,26,기기류 제조업
12443,1274001988,대영,오평숙,26,기기류 제조업
32207,4298100291,(주)월드메이커,문혜경,26,기기류 제조업
29087,3628700817,씨큐리티(주),공승길,26,기기류 제조업
14258,1313564839,아이비시스템,서동훈,26,기기류 제조업
9690,1148190678,(주)에드원,김춘걸,26,기기류 제조업
17018,1438800867,(주)씨에스이엔엘,한원재,26,기기류 제조업
21272,2138634416,(주)에스엔제이,장태희,26,기기류 제조업
23276,2218116734,(주)용두애브컴,엄성철,26,기기류 제조업
