사업자등록번호,기업명,대표자명
1010181318,한아름기업경영시스템,전성식
1010291472,글로벌에이스,김선남
1010299794,마하넷,이계복
1010353887,넷코리아,김태식
1010405500,서울영상집단,이마리오
1010423624,김달진미술연구소,최명자
1010580715,전통과현대,홍석근
1010586868,초이스메이커코리아,임인섭
1010591376,넥스트프로바이더,이주영
1010630755,채움,엄정순
1010636104,조이시스템,조성원
1010653438,디지팝,박종열
1010663649,지오북,황영심
1010663955,피지소프트,김응수
1010696247,함께가는길,당현준
1010709394,역사공간,주혜숙
1010728519,비앤에이치소프트,홍종환
1010742296,미라클에듀테인먼트,홍상구
1010759706,신성싸이언스,박노봉
1010770583,씨네크루프로덕션,김필주
1010790745,우드앤북,고준권
1010793081,해피스토리,장성순
1010805944,비투비이,유준규
1010858325,지오,이찬영
1010979569,오브테크,최선경
1011047345,도서출판르네상스,박종암
1011055845,졸업증명서인터넷발급,이계복
1011124280,공간예술사,신창근
1011692615,정신세계원,송순현
1012865464,대성전산,전길호
1013196161,웹폼디자인,이병철
1013979682,제이텍,주승문
1018124115,(주)신영미디어,김규헌
1018126317,(주)아이비케이시스템,김주원
1018136867,(주)프리미엄북스,주기형
1018139767,(주)교원프라퍼티,장평순
1018142443,(주)아이퀘스트,김순모
1018146502,(주)토모로,최현숙
1018146633,(주)이에스피,강구열
1018147345,(주)마크애니,최고
1018148325,(주)텔리테크,최영식
1018148946,(주)이씨뱅크,최승관
1018149678,(주)비즈엔젤,박영석
1018150419,(주)머니투데이,박종면
1018153828,(주)오마이뉴스,오연호
1018153911,(주)한국미디어네트워크,조상현
1018157784,(주)디지캡,한승우
1018158309,(주)계림북스,오세경
1018158430,(주)델리커뮤니케이션,김현주
1018158798,(주)연합인포맥스,성기홍
1018158861,(주)아트앤스터디,현준만
1018159273,(주)케이아이엔엑스,김지욱
1018163383,세틀뱅크(주),최종원
1018164285,(주)쏜다넷,송승한
1018166041,(주)캐드임팩트,엄경식
1018166420,(주)데이드림서울,박성수
1018168068,(주)블루실리카코리아,김우성
1018171559,(주)이코노아이,박원배
1018175875,(주)이네스닷컴,김성주
1018177456,한독아이티(주),기훈종
1018178116,(주)오경컴텍,김종근
1018181469,아이티씨지(주),신철
1018190070,서울셀렉션(주),김형근
1018190522,(주)오앤씨에듀,주시몽
1018193460,(주)빅토리콘텐츠,조윤정
1018198844,(주)노블커뮤니케이션,유민영
1018199917,다해아이앤씨(주),나한우
1018216437,한국지역정보개발원,김영미
1018218809,한국사회보장정보원,임희택
1018600141,(주)리마,장종현
1018601121,한국라쿠텐트래블(주),타카노요시유키
1018601330,이홉(주),이왕석
1018604512,(주)아이티동아,강덕원
1018605210,아시아나세이버(주),서근식
1018606091,(주)윤스칼라,윤석호
1018609477,(주)조이슈즈,홍상원
1018611537,(주)레드앤블루,박보현
1018612953,(주)지오비스,성락식
1018613419,(주)디지털데일리,양경진
1018615149,테크놀러지리딩퓨처(주),이종구
1018615187,(주)스페어맵,김승범
1018615552,(주)데일리엔케이,이광백
1018615756,(주)디지탈레코드,정보용
1018616186,알트란테크놀리지스코리아(유),필립피에로
1018616662,(주)엠피디에이,원상호
1018616959,(주)타이호인스트,정희영
1018619688,신영커뮤니케이션,이선엽
1018620021,(주)씨케이커뮤스트리,최영태
1018622882,무디스애널리틱스코리아(주),마크에드슨알메이다
1018623426,(주)지에스아이티엠,변재철
1018624537,(주)현대지능개발사,유덕수
1018625536,(주)바닐라브리즈,한데이비드
1018627984,(주)크리스틴,권대훈
1018628756,위드시스템(주),이형기
1018629468,(주)아이더블유인터내셔널,김오현
1018631606,메타넷티플랫폼(주),이건전
1018634049,(주)티우,민주량
1018634641,(주)빛가람,박찬용
1018635413,(주)씨유앰앤아이,김정순
1018635465,(주)크레이지버드스튜디오,허선
1018636862,(주)온솔루션인티그레이션,고재철
1018637314,(주)비욘드프로세스,장택상
1018638967,(주)림라코리아,유문선
1018639476,(주)유리솔루션,김선근
1018640352,엠앤엠솔루션(주),김종성
1018646448,화이트윙시스템(주),최재은
1018646526,(주)소셜뉴스,민병관
1018646676,(주)코어프로세스,김종선
1018647471,(주)리본즈코리아,하동구
1018647675,(주)핀스정보기술,정석영
1018647923,(주)지오인포테크이노베이션,이정이
1018651015,파킹클라우드(주),신상용
1018651785,(주)청심아이티,김재균
1018654365,크리샤(주),방병혁
1018654614,드림비전스(주),허각
1018654725,(주)케이씨넷,양승권
1018655608,네오컨버전스(주),남영진
1018660907,(주)아이엔씨미디어,도은숙
1018662787,(주)채널에이,김재호
1018662870,(주)뉴스1,이백규
1018663151,(주)피엔아이,정현석
1018663689,(주)씨알에스큐브,김기돈
1018663883,(주)리뷰스타,김현숙
1018664335,스틱이비아이(주),김택기
1018665289,현대무벡스(주),현기봉
1018667050,(주)한용인베스트먼트,심혁보
1018668364,헬스커넥트(주),임동석
1018668802,(주)유로인스트루먼츠,박진문
1018669359,아이헤이트플라잉버그스(주),박찬용
1018669534,위더소프트(주),성창미
1018675472,(주)파슬넷,최원재
1018675884,(주)에이엠아이시스템즈,박병진
1018677733,(주)문명인,문자현
1018679162,(주)피엘시스템즈,김세원
1018680392,(주)에포크미디어코리아,정기태
1018682065,마인즈시스템즈(주),이준훈
1018684025,(주)에스이엠글로벌,심일석
1018684777,(주)보탬디자인,임흥섭
1018684821,카스퍼스키랩코리아(유),마리아추흐코바
1018685698,(주)엔터플,박현민
1018687435,(주)채널에이미디어텍,윤영섭
1018688040,(주)인트로컴퍼니,김경원
1018689108,소레즈(주),이창섭
1018690546,(주)피터스컨설팅,조은성
1018691768,(주)큐앤디컨설팅,김규돈
1018693636,(주)영화사오원,오원석
1018701415,(주)메이엔,정상신
1018800053,(주)인포가이드코리아,채정석
1018800150,(주)생리옹,성현용
1018800882,(주)나우테스아이오티,임중권
1018801877,아름다운책방(주),권오상
1019002791,복있는사람,박종현
1019008704,공옥출판사,백석기
1019012585,도서출판다림,한혁수
1019016072,도서출판청미래,김실
1019017106,지식산업정보원,손명하
1019027263,도서출판다인,반연순
1019035220,파피에출판사,강인수
1019051443,서영,서동영
1019054834,싹수,김엘리
1019065554,도서출판우리학교,홍지연
1019078063,마리북스,정은영
1019079761,느티나무아래,옥지인
1019085278,랭기지북스,조경아
1019130450,고래뱃속,김구경
1019131196,케이제이에이치,김재훈
1019131444,대일출판사,오동섭
1019137036,천지간,고영창
1019852943,도서출판도솔,최정환
1020104560,비전정보기술,마재영
1020113899,대한컨설팅,채석원
1020381616,봄날ICT,김종수
1020691153,신영미디어,김동호
1021061660,스튜디오이십일,윤미영
1021452024,대한리서치,김장수
1021464189,이십일세기군사연구소,김진욱
1021862781,교수신문사,이영수
1021992114,제이에이치일,박창우
1022555371,플랩스,김황호
1023493514,동화사,최의숙
1028101338,(주)을유문화사,정무영
1028103525,(주)동아일보사,김재호
1028120198,쎄티스펙션코리아시스템(주),송정순
1028123273,(주)연합뉴스,성기홍
1028131851,(주)모터매거진,이승용
1028132883,(주)와이티엔,정찬형
1028133903,웨더뉴스(주),이와사히데노리
1028136588,(주)뉴시스,김형기
1028139950,(주)도서출판미래사,고영래
